;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
1;Connecticut;AAC;;38;1;89.3;48.6;40.64;;11.00;;30.43;21.22;51.64;100.81;24.17;76.65
2;Notre Dame;ACC;;36;3;79.8;59.8;20.08;;16.62;;22.02;14.68;36.70;87.37;32.48;54.88
3;South Carolina;SEC;;34;3;75.9;51.5;24.35;;12.42;;18.31;15.84;34.15;78.55;30.89;47.66
4;Baylor;Big 12;;33;4;79.5;59.0;20.49;;10.96;;20.69;10.76;31.45;83.77;35.99;47.77
5;Maryland;Big Ten;;34;3;78.6;61.1;17.51;;13.64;;19.56;11.60;31.15;86.59;39.25;47.34
6;Tennessee;SEC;;30;6;71.3;56.3;15.00;;13.04;;14.17;13.88;28.04;80.18;37.01;43.17
7;Florida State;ACC;;32;5;75.5;55.9;19.62;;9.12;;16.14;11.23;27.37;75.55;34.61;40.94
8;Louisville;ACC;;27;7;73.1;58.4;14.68;;11.02;;12.82;12.87;25.69;75.63;35.50;40.13
9;Duke;ACC;;23;11;69.6;59.0;10.62;;14.22;;10.75;14.08;24.84;75.33;36.50;38.83
10;Oregon State;Pac-12;;27;5;72.8;56.1;16.75;;9.64;;11.04;12.93;23.96;72.78;36.23;36.55
11;Princeton;Ivy;;31;1;75.8;52.6;23.19;;0.44;;12.76;10.87;23.63;80.14;40.95;39.19
12;Arizona State;Pac-12;;29;6;67.7;55.9;11.86;;10.94;;9.14;13.65;22.80;75.23;38.59;36.64
13;North Carolina;ACC;;26;9;75.3;65.3;10.06;;12.01;;16.32;5.75;22.07;73.98;38.62;35.36
14;Ohio State;Big Ten;;24;11;81.0;71.8;9.26;;12.74;;21.50;0.50;22.00;77.48;43.39;34.09
15;South Florida;AAC;;27;8;71.3;59.7;11.66;;10.26;;12.67;9.25;21.92;75.82;40.33;35.49
16;Stanford;Pac-12;;26;10;69.3;60.5;8.75;;13.10;;11.03;10.83;21.85;77.81;42.81;35.00
17;DePaul;Big East;;27;8;86.0;70.2;15.80;;5.39;;23.80;-2.61;21.19;79.90;47.55;32.35
18;Mississippi State;SEC;;27;7;73.1;57.5;15.59;;5.56;;12.12;9.03;21.15;71.45;38.10;33.34
19;Iowa;Big Ten;;26;8;79.5;72.6;6.88;;14.08;;20.18;0.78;20.96;81.79;48.47;33.32
20;Rutgers;Big Ten;;23;10;68.7;61.2;7.52;;13.32;;9.10;11.74;20.84;69.20;35.73;33.48
21;Texas;Big 12;;24;11;67.7;58.5;9.23;;13.28;;9.37;11.46;20.82;68.85;35.12;33.73
22;Northwestern;Big Ten;;23;9;71.8;62.7;9.06;;11.17;;11.97;8.26;20.23;67.98;35.95;32.04
23;Kentucky;SEC;;24;10;75.6;69.0;6.65;;13.55;;17.93;2.28;20.20;71.10;39.49;31.62
24;Oklahoma;Big 12;;21;12;74.7;68.5;6.21;;13.46;;17.59;2.08;19.67;76.16;44.30;31.87
25;California;Pac-12;;24;10;69.8;62.6;7.18;;11.96;;10.26;8.87;19.13;68.95;38.84;30.11
26;Nebraska;Big Ten;;21;11;67.1;60.9;6.22;;12.48;;7.01;11.69;18.70;68.21;37.98;30.23
27;Dayton;A-10;;28;7;76.5;65.6;10.91;;7.56;;15.21;3.27;18.48;76.74;45.89;30.85
28;Syracuse;ACC;;22;10;69.5;61.8;7.69;;10.69;;10.17;8.21;18.38;71.84;41.05;30.80
