;;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;AP Rank;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
1;South Carolina;SEC;;1;32;0;86.1;56.3;29.75;;15.76;;27.08;18.43;45.51;122.69;63.55;59.14
2;Connecticut;Big East;;10;29;5;80.8;56.3;24.50;;15.98;;23.33;15.55;38.88;121.33;68.02;53.31
3;Iowa;Big Ten;;2;29;4;92.8;71.9;20.94;;16.71;;34.17;3.48;37.65;127.12;78.21;48.92
4;Texas;Big 12;;4;30;4;81.2;58.0;23.21;;14.16;;22.30;15.07;37.37;120.39;69.99;50.40
5;UCLA;Pac-12;;6;25;6;77.7;60.7;16.97;;18.55;;20.54;14.99;35.52;117.55;69.38;48.17
6;Stanford;Pac-12;;5;28;5;77.5;59.2;18.30;;17.12;;21.01;14.41;35.42;121.75;72.56;49.19
7;Louisiana State;SEC;;8;28;5;86.7;62.5;24.15;;10.30;;26.22;8.23;34.45;116.86;73.95;42.91
8;Notre Dame;ACC;;9;26;6;79.2;60.8;18.41;;14.82;;19.71;13.52;33.23;111.19;67.79;43.40
9;Ohio State;Big Ten;;7;25;5;79.8;63.8;15.97;;17.48;;19.62;13.55;33.17;114.74;70.82;43.92
10;Southern California;Pac-12;;3;26;5;74.7;62.2;12.52;;18.41;;17.87;13.06;30.93;115.53;72.93;42.59
11;NC State;ACC;;11;27;6;73.8;60.0;13.82;;16.57;;16.20;14.19;30.39;110.87;70.76;40.11
12;Utah;Pac-12;;21;22;10;78.0;61.8;16.25;;16.06;;19.03;11.02;30.06;117.77;77.05;40.72
13;Colorado;Pac-12;;17;22;9;75.5;63.7;11.81;;17.74;;18.61;10.94;29.55;114.63;74.53;40.10
14;Indiana;Big Ten;;14;24;5;79.5;64.0;15.45;;13.97;;17.81;11.60;29.42;116.64;77.15;39.49
15;Kansas State;Big 12;;15;25;7;72.2;57.6;14.59;;14.81;;12.42;16.98;29.40;108.10;68.72;39.38
16;Baylor;Big 12;;19;24;7;74.8;59.5;15.26;;13.49;;16.01;12.74;28.75;109.18;70.78;38.40
17;West Virginia;Big 12;;;24;7;74.6;57.8;16.87;;11.33;;14.83;13.37;28.20;108.72;71.54;37.18
18;Oregon State;Pac-12;;12;24;7;71.6;59.8;11.81;;16.37;;14.16;14.01;28.18;113.17;74.39;38.78
19;Michigan State;Big Ten;;;22;8;83.7;67.3;16.40;;11.20;;21.58;6.02;27.60;117.16;80.98;36.18
20;Duke;ACC;;;20;11;68.6;57.7;10.84;;16.65;;10.30;17.18;27.49;106.40;69.42;36.97
21;Gonzaga;WCC;;16;30;3;81.2;60.0;21.21;;5.76;;18.88;8.10;26.97;120.03;82.08;37.95
22;Virginia Tech;ACC;;13;24;7;74.8;61.7;13.06;;13.49;;15.22;11.34;26.56;116.15;79.68;36.47
23;Louisville;ACC;;23;24;9;73.5;63.1;10.45;;14.93;;14.38;11.00;25.38;112.11;77.78;34.33
24;Penn State;Big Ten;;;19;12;83.6;71.6;11.94;;12.96;;23.26;1.64;24.89;113.13;81.15;31.98
25;Tennessee;SEC;;;19;12;75.9;69.6;6.29;;18.06;;17.43;6.92;24.35;111.62;79.89;31.73
26;Oklahoma;Big 12;;18;22;9;76.8;68.9;7.97;;16.17;;19.02;5.12;24.14;107.82;76.31;31.51
27;Nebraska;Big Ten;;;22;11;73.4;64.4;8.94;;14.65;;13.12;10.47;23.58;109.43;77.27;32.16
28;Washington State;Pac-12;;;18;14;69.6;62.2;7.44;;16.08;;11.48;12.04;23.52;109.43;77.58;31.85
29;Maryland;Big Ten;;;19;13;77.7;72.7;5.00;;18.41;;18.56;4.86;23.41;109.78;79.41;30.37
30;Iowa State;Big 12;;;20;11;74.6;68.0;6.61;;16.56;;15.65;7.52;23.17;111.95;81.14;30.81
31;Creighton;Big East;;24;25;5;73.3;62.4;10.97;;11.99;;14.55;8.41;22.96;113.93;82.14;31.78
32;Arizona;Pac-12;;;17;15;69.9;65.8;4.19;;18.01;;13.07;9.13;22.20;106.62;76.21;30.40
33;Alabama;SEC;;;23;9;73.5;61.8;11.72;;10.12;;12.20;9.64;21.84;108.25;78.76;29.49
34;North Carolina;ACC;;;19;12;68.9;61.9;7.03;;14.75;;10.51;11.27;21.78;105.59;76.16;29.44
35;Texas A&M;SEC;;;19;12;68.7;58.6;10.03;;11.60;;8.04;13.59;21.63;103.16;74.03;29.13
36;Mississippi;SEC;;;23;8;69.0;59.2;9.81;;11.73;;8.06;13.48;21.54;103.35;74.33;29.02
37;Kansas;Big 12;;;19;12;68.2;63.7;4.42;;16.60;;10.60;10.42;21.02;108.87;80.04;28.84
38;Auburn;SEC;;;20;11;66.6;58.5;8.13;;12.51;;6.55;14.09;20.64;98.13;71.22;26.91
39;Nevada-Las Vegas;MWC;;20;30;2;79.2;58.2;21.03;;-0.49;;13.97;6.58;20.55;111.49;82.66;28.83
40;Florida State;ACC;;;23;10;78.7;71.2;7.52;;13.00;;19.07;1.44;20.51;107.42;80.61;26.82
41;Washington;Pac-12;;;16;14;64.5;58.9;5.60;;14.59;;5.78;14.42;20.19;104.51;76.67;27.84
42;Michigan;Big Ten;;;20;13;69.9;63.8;6.15;;13.74;;8.68;11.21;19.90;105.45;79.11;26.33
43;Marquette;Big East;;;23;8;70.1;59.3;10.84;;8.76;;9.34;10.26;19.60;104.03;77.80;26.23
44;Syracuse;ACC;;22;23;7;74.4;65.4;9.00;;10.58;;13.30;6.27;19.58;108.47;82.63;25.84
45;Mississippi State;SEC;;;21;11;75.3;65.7;9.56;;9.76;;14.55;4.77;19.32;110.61;85.08;25.53
46;Illinois;Big Ten;;;14;15;74.4;68.5;5.93;;13.20;;13.10;6.03;19.13;110.11;84.33;25.78
47;TCU;Big 12;;;20;11;69.9;60.8;9.10;;10.76;;8.21;10.68;18.89;107.51;81.80;25.71
48;Miami (FL);ACC;;;19;12;66.6;60.4;6.29;;11.44;;6.17;11.57;17.73;102.73;78.43;24.30
49;Oklahoma State;Big 12;;;14;16;69.0;66.4;2.53;;15.14;;10.09;7.59;17.67;105.92;82.06;23.86
50;Princeton;Ivy;;;25;4;69.7;56.0;13.76;;3.58;;6.77;10.57;17.34;106.46;80.97;25.50
51;California;Pac-12;;;18;14;66.4;65.6;0.81;;16.37;;9.23;7.95;17.18;106.16;82.57;23.60
52;Middle Tennessee;CUSA;;;29;4;71.8;54.3;17.58;;-0.44;;5.47;11.66;17.14;106.66;81.25;25.41
53;Vanderbilt;SEC;;;22;9;68.5;61.6;6.97;;9.93;;7.44;9.46;16.89;102.32;79.75;22.56
54;Villanova;Big East;;;18;12;64.6;59.6;5.00;;11.72;;6.00;10.72;16.72;103.95;80.54;23.41
55;Virginia;ACC;;;15;15;72.8;69.3;3.43;;13.23;;13.58;3.08;16.66;105.05;83.00;22.06
56;Florida;SEC;;;16;15;75.1;71.1;4.06;;12.43;;14.55;1.95;16.49;105.70;83.15;22.55
57;Minnesota;Big Ten;;;16;15;69.9;66.5;3.42;;12.32;;7.23;8.51;15.74;102.64;82.46;20.18
58;Green Bay;Horizon;;;27;6;74.2;57.1;17.09;;-1.35;;6.38;8.68;15.05;108.79;85.85;22.94
59;Columbia;Ivy;;;23;6;76.0;63.2;12.76;;1.96;;12.83;1.89;14.72;109.94;89.60;20.34
60;Florida Gulf Coast;A-Sun;;;29;4;75.0;54.5;20.55;;-3.04;;6.24;8.05;14.28;105.69;84.35;21.34
61;Purdue;Big Ten;;;13;18;68.6;69.5;-0.87;;15.10;;8.28;5.95;14.23;102.54;84.02;18.52
62;Seton Hall;Big East;;;17;14;64.9;59.9;5.06;;8.99;;4.84;9.22;14.06;100.67;81.16;19.51
63;Richmond;A-10;;;29;5;73.4;60.7;12.76;;1.17;;9.75;4.18;13.93;106.95;86.84;20.11
64;Georgia Tech;ACC;;;17;15;68.3;66.4;1.91;;12.01;;8.26;5.66;13.91;102.24;84.04;18.20
65;Arkansas;SEC;;;18;14;69.7;68.5;1.22;;12.60;;9.66;4.16;13.82;100.25;82.07;18.17
66;Texas Tech;Big 12;;;17;16;64.9;62.8;2.03;;11.67;;5.14;8.56;13.70;100.73;82.65;18.08
67;South Dakota State;Summit;;;27;5;74.2;59.9;14.28;;0.09;;5.92;7.76;13.69;102.17;82.64;19.53
68;Drake;MVC;;;29;5;81.5;69.5;11.97;;1.40;;14.51;-1.13;13.38;105.04;87.58;17.46
69;Boston College;ACC;;;14;19;71.0;69.7;1.30;;11.19;;10.91;1.59;12.49;101.62;85.59;16.04
70;Missouri;SEC;;;11;19;70.0;71.0;-1.03;;13.30;;9.65;2.61;12.26;103.95;88.54;15.42
71;UCF;Big 12;;;12;17;64.1;64.6;-0.45;;12.90;;4.76;6.85;11.61;97.72;82.41;15.32
72;Cincinnati;Big 12;;;14;17;62.5;65.4;-2.87;;14.47;;3.67;7.93;11.60;97.59;81.94;15.65
73;Brigham Young;Big 12;;;16;16;65.6;65.9;-0.31;;11.80;;6.39;5.09;11.48;100.49;85.56;14.93
